filename,coherence_score
WP3_2,0.6225
WP1_2_processed,0.5847
WP3_1_processed,0.3251
WP2_3_processed,0.1631
WP3_3,0.5286
K13_4,0.6344
WP5_1,0.1560
K08_3,0.6971
WP4_1_processed,0.4606
WP1_1_processed,0.6355
WP1_1,0.6357
K01_5,0.5682
WP5_2,0.2231
K01_1,0.1804
K13_2,0.4556
K04_1_processed,0.7070
K01_3,0.5452
WP2_1_processed,0.5481
WP3_4_processed,0.5907
WP4_2_processed,0.6177
WP3_2_processed,0.6225
WP5_4,0.1219
WP2_4,0.2223
K01_3_processed,0.5452
WP5_1_processed,0.1560
K13_3_processed,0.3627
K13_1,0.7547
WP2_3,0.1631
K04_3,0.5720
K01_5_processed,0.5682
K11_2_processed,0.3467
K08_2_processed,0.4681
WP4_2,0.6177
WP4_1,0.4606
K04_4_processed,0.6053
WP3_5,0.8462
WP5_4_processed,0.1219
WP1_3,0.2132
K13_4_processed,0.6344
K08_4_processed,0.4737
WP2_1,0.5481
K13_1_processed,0.7547
WP4_4,0.1564
K08_5_processed,0.4882
K04_2,0.7036
WP2_4_processed,0.2223
K08_5,0.3474
WP1_3_processed,0.2125
K04_2_processed,0.7109
K11_1_processed,0.5704
K01_4,0.6260
WP4_3,0.1248
WP2_2,0.1513
K11_4,0.3273
K13_5,0.5091
K04_3_processed,0.5720
K01_2,0.7687
K08_1_processed,0.5036
K13_2_processed,0.4556
WP1_2,0.5847
WP5_2_processed,0.2231
K13_3,0.3627
K08_1,0.6217
WP4_4_processed,0.1564
WP4_3_processed,0.1248
K08_2,0.5785
K13_5_processed,0.5091
WP2_2_processed,0.1513
K11_4_processed,0.3273
K11_3_processed,0.2456
WP5_3,0.1893
K08_3_processed,0.3112
K04_1,0.7070
K11_1,0.5505
WP3_3_processed,0.5286
K01_2_processed,0.7687
WP3_1,0.3251
WP3_4,0.5907
K11_2,0.3467
WP3_5_processed,0.8462
K01_1_processed,0.1804
K04_4,0.6161
WP5_3_processed,0.1893
K08_4,0.4501
K11_3,0.2456
K01_4_processed,0.6260
